87.39	88.47	87.63	28.21	87.39	89.91	87.22	26.94	87.39	106.39	88.09	24.97	89.59	36.36	120.00	19.98	120.00	24.26	20.27	23.25	27.54	26.37	18.01	27.01	26.87	26.25	21.36	23.38	27.75	35.24	21.46	22.89	31.05	35.74	21.31	25.31	29.18	37.59	21.31	87.78	37.54	39.71	22.35	87.37	38.44	87.90	24.78	61.51	37.96	88.73	87.51	87.39	39.38	88.33	87.15	86.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33.14	88.73	87.56	86.98	26.24	89.19	89.48	88.23	30.36	89.60	19.71	90.36	28.64	28.69	20.96	102.20	26.25	21.53	22.25	120.00	24.97	21.68	30.36	23.95	24.45	24.26	32.99	24.40	28.28	21.58	31.46	26.63	24.86	23.08	32.39	24.00	120.00	25.27	34.14	32.63	26.60	22.77	36.77	37.20	87.29	29.16	37.54	34.62	87.27	24.67	87.10	35.64	87.27	90.02	87.51	36.75	87.66	88.32	87.46	38.37	72.46	87.85	87.47	87.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87.39	88.01	87.20	29.43	76.48	88.88	87.22	87.49	87.39	88.95	87.22	23.18	87.41	26.17	87.20	24.50	87.78	25.34	28.45	19.18	89.05	25.24	20.53	19.23	26.96	24.62	24.73	17.65	31.74	25.43	18.47	19.48	26.29	36.31	15.10	20.43	25.60	34.42	15.64	20.84	27.34	34.76	18.63	24.55	34.98	38.93	18.88	22.11	37.82	86.99	18.37	87.75	39.38	88.26	20.34	70.46	41.84	46.20	87.06	87.34	42.58	88.69	87.06	87.35	45.82	88.26	87.06	87.75	48.18	87.85	87.08	87.75	87.29	54.90	86.72	87.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32.68	87.82	17.23	87.70	29.07	86.53	16.05	88.52	27.97	31.22	16.31	92.78	31.94	29.52	22.30	18.83	25.62	26.99	23.18	17.23	24.93	26.89	22.35	17.10	25.67	32.92	23.02	23.28	32.20	24.62	25.15	24.26	31.37	26.07	88.42	24.21	32.35	30.45	87.49	25.84	87.23	30.69	87.06	27.56	36.92	32.96	87.08	87.73	87.34	33.80	87.04	88.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87.75	88.38	87.15	36.19	78.42	87.96	87.61	32.08	87.37	88.80	87.58	26.34	87.75	91.89	87.15	24.00	87.34	92.65	30.43	24.14	88.23	120.00	24.93	24.55	120.00	23.23	20.69	24.86	120.00	28.33	22.20	23.75	22.58	22.56	22.97	25.77	23.32	26.58	23.08	24.55	23.47	35.02	23.64	26.17	33.09	33.90	24.88	28.06	33.93	87.85	59.33	87.80	88.63	88.75	26.03	60.26	36.49	87.49	27.63	60.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88.99	87.82	30.48	87.71	21.79	88.21	26.37	87.70	25.67	88.18	24.31	30.36	20.26	22.92	24.11	25.69	19.33	21.84	26.74	23.95	25.62	19.98	21.22	22.63	24.83	20.55	20.53	21.10	26.03	22.35	20.48	21.67	27.08	21.68	28.87	25.93	30.00	28.37	27.71	21.65	31.00	29.05	32.39	107.04	87.65	30.96	30.21	26.13	36.86	32.49	87.10	26.75	87.25	89.14	87.46	29.35	87.23	36.25	87.06	29.85	79.21	88.26	87.46	33.76	74.19	88.69	87.06	88.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87.39	88.68	87.63	32.89	87.37	88.93	87.16	30.96	87.39	93.87	35.53	29.69	87.37	94.86	89.02	30.00	92.53	19.43	37.87	110.82	120.00	17.66	29.69	29.95	120.00	19.73	30.02	30.05	16.49	120.00	36.68	52.13	87.30	38.83	87.53	87.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87.66	87.82	36.17	39.81	89.48	86.99	32.44	58.37	17.18	87.41	28.81	37.22	21.68	20.76	112.96	29.04	16.39	98.73	25.76	27.66	17.29	17.32	26.49	24.52	120.00	21.24	31.13	26.34	24.52	19.31	30.82	22.92	120.00	26.32	29.71	26.80	120.00	27.46	31.00	28.33	30.05	29.93	31.19	29.74	87.61	28.99	33.21	28.47	87.23	32.49	33.83	29.14	87.23	33.38	87.08	31.74	87.66	88.66	87.06	35.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87.30	33.80	87.11	89.12	87.29	37.75	87.11	24.73	87.29	27.20	87.53	20.38	88.11	25.55	24.98	22.37	28.69	31.94	31.46	23.90	23.93	22.61	104.90	25.98	23.93	21.17	20.70	26.03	21.46	29.42	19.67	25.98	22.30	23.69	20.14	26.65	21.51	91.98	22.06	28.73	21.43	88.21	27.47	87.68	27.39	88.26	29.59	62.01	88.11	87.80	31.56	57.10	87.25	87.85	36.87	51.96	33.51	87.87	87.13	87.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49.85	87.80	87.47	87.34	46.03	86.98	87.47	87.32	40.27	88.28	88.37	87.34	33.04	45.33	90.34	87.75	31.22	40.79	13.45	90.34	30.00	31.68	12.58	17.75	28.38	31.12	13.71	16.74	31.12	31.48	13.45	16.84	30.53	27.25	15.95	16.74	30.22	30.19	17.59	16.37	29.74	30.55	108.33	19.62	29.95	28.33	120.00	19.28	31.01	27.87	88.93	19.78	33.04	29.21	29.76	22.37	87.30	28.38	31.19	27.56	87.30	29.67	87.11	28.02	87.63	31.43	87.10	29.38	87.70	31.84	87.53	87.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87.42	89.71	87.23	20.82	86.99	15.45	88.08	18.90	87.82	14.11	68.49	16.77	15.33	14.78	120.00	16.51	16.34	17.20	18.81	17.16	15.70	20.89	33.69	15.96	15.48	20.76	18.20	17.84	15.55	29.74	15.72	120.00	17.68	33.35	15.57	32.66	18.64	92.13	26.87	32.27	21.29	42.51	27.39	88.02	88.47	41.89	28.93	57.35	87.16	43.85	32.51	88.02	87.58	88.16	60.41	87.68	87.16	87.35	65.19	87.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87.30	88.30	87.54	67.70	87.30	88.20	63.45	87.01	18.16	66.08	62.37	60.58	120.00	20.58	120.00	58.66	20.62	21.43	29.09	57.39	21.49	21.46	24.91	27.32	38.45	34.66	23.32	24.78	30.67	23.73	23.78	23.78	29.42	26.00	15.52	21.96	31.55	27.13	12.61	20.93	34.54	101.80	11.43	14.79	35.17	32.65	12.25	11.01	89.05	37.85	87.97	10.72	39.78	93.73	87.13	89.69	45.41	87.92	87.15	28.51	80.41	88.75	87.56	87.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87.32	63.52	87.15	87.37	87.71	67.27	87.13	86.94	87.35	88.76	87.56	27.13	79.14	65.88	87.99	25.45	86.51	56.98	87.13	23.68	62.30	33.71	87.54	22.20	60.52	30.38	87.13	20.26	87.30	27.80	87.54	19.09	27.15	16.12	88.93	18.64	25.74	13.80	107.39	17.58	14.38	12.35	120.00	17.22	11.05	24.97	31.53	17.68	10.62	23.93	36.12	17.58	12.56	24.50	21.51	18.14	22.97	25.02	22.70	18.90	23.85	26.41	19.90	21.24	25.89	87.70	19.69	87.25	24.59	87.75	20.96	87.27	26.53	58.73	22.85	66.19	28.40	36.75	25.38	64.67	31.08	88.18	87.04	88.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
87.22	83.83	87.89	68.64	87.63	87.35	61.34	63.87	87.63	87.35	36.39	60.64	22.59	63.92	59.59	59.23	23.76	25.95	69.88	58.26	24.54	25.79	57.27	56.08	21.51	92.71	25.07	29.52	21.82	24.19	26.07	27.78	22.35	50.81	22.49	27.03	23.85	24.40	22.06	23.37	24.54	25.95	11.43	21.65	25.64	24.45	8.95	19.97	33.32	27.29	8.54	10.07	33.59	24.09	11.58	8.08	34.95	27.63	22.96	7.42	37.08	26.10	20.77	9.05	40.05	25.53	21.77	114.57	87.63	91.62	87.08	19.45	87.25	89.23	87.46	19.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
